OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SHAPE_LENG,Shape__Area,Shape__Length
8805,42,101,003901,2004,421010039012004,Block 2004,G5040, , ,S,12583,0,+39.9228650,-075.1728387,458.65941724,135492.31829834,1505.74681826751
8806,42,101,003901,2002,421010039012002,Block 2002,G5040, , ,S,6406,0,+39.9226924,-075.1715172,371.36237989,68958.1473999023,1218.76959073323
8807,42,101,003002,3005,421010030023005,Block 3005,G5040, , ,S,6589,0,+39.9329667,-075.1730681,369.94007677,70957.3212280273,1214.02748526719
8808,42,101,003002,2003,421010030022003,Block 2003,G5040, , ,S,6472,0,+39.9341155,-075.1722522,369.22171709,69624.6115112305,1211.60795017022
8809,42,101,003001,5001,421010030015001,Block 5001,G5040, , ,S,6446,0,+39.9303238,-075.1720319,369.11451047,69326.8414916992,1211.17814979623
8810,42,101,003001,3001,421010030013001,Block 3001,G5040, , ,S,6625,0,+39.9290326,-075.1717467,370.30436827,71370.8054199219,1215.64442557077
8811,42,101,003901,3005,421010039013005,Block 3005,G5040, , ,S,6744,0,+39.9232989,-075.1762254,376.62472035,72512.9381713867,1236.11166203821
8812,42,101,003901,4003,421010039014003,Block 4003,G5040, , ,S,12274,0,+39.9268949,-075.1746393,453.52537325,132145.589477539,1488.34498845144
8813,42,101,003901,3003,421010039013003,Block 3003,G5040, , ,S,6727,0,+39.9231677,-075.1751989,376.35251799,72317.8403320313,1234.76463609843
8814,42,101,003100,1001,421010031001001,Block 1001,G5040, , ,S,3645,0,+39.9346485,-075.1748991,266.80555298,39225.729309082,875.469311912365
8815,42,101,003701,1006,421010037011006,Block 1006,G5040, , ,S,6336,0,+39.9277361,-075.1779599,364.74738801,68222.9213256836,1197.12380753222
8816,42,101,003800,3004,421010038003004,Block 3004,G5040, , ,S,3426,0,+39.9233921,-075.1794114,242.41450657,36848.184387207,795.268811080689
