TractFIPS,Geolocation,lat,lon,walk_score,transit_score,bike_score
42101014800,"(39.98020471160, -75.1691609593)",39.98020471160, -75.1691609593,74,72,70
42101014900,"(39.98165023220, -75.1804029933)",39.98165023220, -75.1804029933,72,62,64
42101015101,"(39.98696327280, -75.1857501459)",39.98696327280, -75.1857501459,47,60,86
42101015102,"(39.98614297420, -75.1794280468)",39.98614297420, -75.1794280468,74,61,54
42101015200,"(39.98545464980, -75.1700491303)",39.98545464980, -75.1700491303,61,68,67
42101015300,"(39.98376444980, -75.1608849228)",39.98376444980, -75.1608849228,74,81,69
42101015600,"(39.97900663670, -75.1418910314)",39.97900663670, -75.1418910314,80,81,79
42101015700,"(39.97804632520, -75.1355241557)",39.97804632520, -75.1355241557,83,69,84
42101015800,"(39.97357728770, -75.1294326648)",39.97357728770, -75.1294326648,85,66,93
42101016000,"(39.97938097090, -75.1231902126)",39.97938097090, -75.1231902126,92,65,90
42101016100,"(39.98445718040, -75.1275248647)",39.98445718040, -75.1275248647,88,69,81
42101016200,"(39.98401968790, -75.1384217430)",39.98401968790, -75.1384217430,80,76,77
42101016300,"(39.98850607920, -75.1339155453)",39.98850607920, -75.1339155453,77,70,73
42101016400,"(39.98964373580, -75.1431665813)",39.98964373580, -75.1431665813,84,78,59
42101016500,"(39.98905508080, -75.1491723701)",39.98905508080, -75.1491723701,81,83,55
42101016600,"(39.98904916390, -75.1536062608)",39.98904916390, -75.1536062608,82,83,55
42101016701,"(39.99119657180, -75.1619017170)",39.99119657180, -75.1619017170,48,75,57
42101016702,"(39.99041757840, -75.1578176592)",39.99041757840, -75.1578176592,75,80,55
42101016800,"(39.99178207740, -75.1676540196)",39.99178207740, -75.1676540196,53,69,56
42101016901,"(39.99305230530, -75.1758393273)",39.99305230530, -75.1758393273,54,60,57
42101016902,"(39.99398573190, -75.1831934349)",39.99398573190, -75.1831934349,55,59,88
42101017000,"(40.00770786870, -75.1818037034)",40.00770786870, -75.1818037034,67,63,47
42101017100,"(40.00274486390, -75.1763244983)",40.00274486390, -75.1763244983,69,67,64
42101017201,"(39.99939724760, -75.1686144760)",39.99939724760, -75.1686144760,70,71,64
42101017202,"(39.99866699050, -75.1742060233)",39.99866699050, -75.1742060233,52,67,65
42101017300,"(39.99857069700, -75.1609337065)",39.99857069700, -75.1609337065,50,77,62
42101017400,"(39.99621378080, -75.1503586163)",39.99621378080, -75.1503586163,73,79,60
42101017500,"(39.99743599280, -75.1427817796)",39.99743599280, -75.1427817796,80,73,61
42101017601,"(39.99392597780, -75.1343449403)",39.99392597780, -75.1343449403,84,66,64
42101017602,"(39.99671819360, -75.1305528733)",39.99671819360, -75.1305528733,75,66,66
42101017701,"(39.99644696260, -75.1167525603)",39.99644696260, -75.1167525603,88,67,64
42101017702,"(39.99506218140, -75.1231398438)",39.99506218140, -75.1231398438,81,69,73
42101017800,"(39.99137335620, -75.1173061455)",39.99137335620, -75.1173061455,85,69,66
42101017900,"(39.98705345300, -75.1139338890)",39.98705345300, -75.1139338890,80,67,74
42101018001,"(39.98105698160, -75.1128000114)",39.98105698160, -75.1128000114,82,58,88
42101018002,"(39.98363441910, -75.1067095894)",39.98363441910, -75.1067095894,91,58,82
42101018300,"(39.99526020690, -75.0746013479)",39.99526020690, -75.0746013479,63,43,56
42101018400,"(39.99869535850, -75.0645677689)",39.99869535850, -75.0645677689,59,43,47
42101018800,"(39.99736586560, -75.1058294984)",39.99736586560, -75.1058294984,88,66,58
42101019000,"(40.00924797460, -75.0985073036)",40.00924797460, -75.0985073036,83,64,60
42101019100,"(40.00967460390, -75.1068374251)",40.00967460390, -75.1068374251,82,58,59
42101019200,"(40.00063923830, -75.1150647872)",40.00063923830, -75.1150647872,85,66,63
42101019501,"(40.00043024170, -75.1316227229)",40.00043024170, -75.1316227229,78,62,60
42101019502,"(40.00340292780, -75.1300444941)",40.00340292780, -75.1300444941,70,59,53
42101019700,"(40.01627991660, -75.1379372140)",40.01627991660, -75.1379372140,77,73,51
42101019800,"(40.01072447060, -75.1421472184)",40.01072447060, -75.1421472184,80,77,50
42101019900,"(40.00485156110, -75.1435462441)",40.00485156110, -75.1435462441,81,76,57
42101020000,"(40.00252894560, -75.1508995206)",40.00252894560, -75.1508995206,82,81,59
42101020101,"(40.00368246810, -75.1553071488)",40.00368246810, -75.1553071488,80,81,57
42101020102,"(40.01114158900, -75.1545675851)",40.01114158900, -75.1545675851,84,81,52
42101020200,"(40.00812824590, -75.1621607972)",40.00812824590, -75.1621607972,69,77,57
42101020300,"(40.01258211350, -75.1495922294)",40.01258211350, -75.1495922294,84,81,51
42101020400,"(40.01982161430, -75.1525117069)",40.01982161430, -75.1525117069,83,80,56
42101020500,"(40.01587384890, -75.1643605132)",40.01587384890, -75.1643605132,35,72,52
42101020600,"(40.01902012730, -75.1825323687)",40.01902012730, -75.1825323687,60,57,55
42101020700,"(40.01279610570, -75.1939701342)",40.01279610570, -75.1939701342,82,62,68
42101020800,"(40.02131514770, -75.1936133851)",40.02131514770, -75.1936133851,41,55,54
42101020900,"(40.01813254070, -75.2092966883)",40.01813254070, -75.2092966883,81,62,67
42101021000,"(40.02421631930, -75.2149058250)",40.02421631930, -75.2149058250,92,56,45
42101021100,"(40.02645653700, -75.2065293798)",40.02645653700, -75.2065293798,83,55,77
